key,value
alpha_ccdB_e,1
beta_ccdB_e,3
IPTG,500000
K_ccdB_e,5000 
h_ccdB_e,3
gamma_rccdB_e,0.15
alpha_ccdB_s,1
beta_ccdB_s,1.2
K_ccdB_s,4000
h_ccdB_s,3
gamma_rccdB_s,0.1
alpha_ccdA_e,0.8
beta_ccdA_e,2.5
K_ccdA_e,3500
h_ccdA_e,3
gamma_rccdA_e,0.4
alpha_ccdA_s,1.5
beta_ccdA_s,4.6
K_ccdA_s,1000
h_ccdA_s,3
gamma_rccdA_s,0.61
sigma_ccdB,8
gamma_pccdB,1.2
delta_ccdAccdB,0.3
sigma_Trar,34
Ar_Trar,30000
gamma_rTrar,0.22
gamma_pTrar,0.08
sigma_Bjal,47
Ar_Bjal,40000
gamma_rBjal,0.4
gamma_pBjal,0.047
sigma_Bjar,62
Ar_Bjar,30000
gamma_rBjar,0.62
gamma_pBjar,0.048
sigma_Esal,33
Ar_Esal,30000
gamma_rEsal,0.9
gamma_pEsal,0.1
s_BjarBjal,0.2
s_TrarEsal,0.1
gamma_pccdA,0.2
sigma_ccdA,19
sigma_Ec,5
sigma_So,2.8
p_So,0.5
K,1000000000
p_Ec,0.4
